epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3158,1.53428,2.1969,1.53616,0.47832,0.47623,0.42952,0.18818,1.82487,2.03938,1.8737,0.000664251,0.000664251,0.000664251
2,141.374,1.72557,2.02368,1.70856,0.35974,0.41999,0.35004,0.15929,1.81477,2.56212,1.92999,0.00131774,0.00131774,0.00131774
3,207.552,1.78031,2.03072,1.77712,0.44571,0.36764,0.35373,0.13456,2.10958,2.17283,2.20801,0.00195803,0.00195803,0.00195803
4,272.935,1.76347,1.96545,1.74506,0.55438,0.47362,0.48542,0.20917,1.86413,1.77394,1.94183,0.0019406,0.0019406,0.0019406
5,338.324,1.67074,1.85254,1.68016,0.59853,0.47841,0.51082,0.24818,1.68505,1.75104,1.80721,0.0019208,0.0019208,0.0019208
6,403.386,1.63596,1.78689,1.64034,0.61265,0.4976,0.53624,0.25828,1.73441,1.65577,1.8614,0.001901,0.001901,0.001901
7,468.465,1.61324,1.72038,1.62338,0.59945,0.46707,0.51152,0.26009,1.68208,1.70562,1.81932,0.0018812,0.0018812,0.0018812
8,533.5,1.55482,1.6596,1.57921,0.66211,0.5652,0.61606,0.32935,1.55268,1.42998,1.64351,0.0018614,0.0018614,0.0018614
9,598.736,1.5394,1.63564,1.57673,0.61735,0.54165,0.57633,0.30621,1.59604,1.53052,1.67086,0.0018416,0.0018416,0.0018416
10,663.979,1.51637,1.58885,1.54988,0.61153,0.54863,0.57748,0.31829,1.57891,1.47953,1.69573,0.0018218,0.0018218,0.0018218
11,729.291,1.50062,1.55298,1.52997,0.67397,0.53911,0.60188,0.31768,1.60547,1.42162,1.68374,0.001802,0.001802,0.001802
12,794.79,1.48096,1.52244,1.52557,0.69917,0.58482,0.65512,0.3506,1.51941,1.34354,1.6227,0.0017822,0.0017822,0.0017822
13,860.298,1.45252,1.47922,1.50287,0.71472,0.60401,0.66744,0.36777,1.49466,1.24538,1.59114,0.0017624,0.0017624,0.0017624
14,925.577,1.45338,1.47202,1.49974,0.69294,0.61361,0.66261,0.36481,1.46621,1.3481,1.5795,0.0017426,0.0017426,0.0017426
15,990.793,1.43812,1.42615,1.49059,0.68994,0.59093,0.64989,0.37143,1.43336,1.30067,1.54735,0.0017228,0.0017228,0.0017228
16,1055.94,1.42529,1.41666,1.47412,0.73903,0.63716,0.70837,0.41458,1.38708,1.1939,1.49982,0.001703,0.001703,0.001703
17,1120.81,1.40889,1.40275,1.45594,0.75919,0.60532,0.69504,0.39861,1.44893,1.21883,1.56825,0.0016832,0.0016832,0.0016832
18,1185.75,1.40428,1.38333,1.45775,0.72653,0.63145,0.70987,0.40513,1.411,1.18553,1.50661,0.0016634,0.0016634,0.0016634
19,1250.79,1.40379,1.37761,1.46275,0.74794,0.63236,0.71245,0.40587,1.4174,1.17632,1.51488,0.0016436,0.0016436,0.0016436
20,1315.88,1.38396,1.34379,1.44133,0.74431,0.63093,0.7148,0.43334,1.33351,1.13463,1.46581,0.0016238,0.0016238,0.0016238
21,1380.78,1.37508,1.33817,1.44058,0.72468,0.61579,0.67849,0.39159,1.441,1.2015,1.55172,0.001604,0.001604,0.001604
22,1445.66,1.36121,1.31836,1.42688,0.74657,0.63209,0.71029,0.41112,1.39703,1.16578,1.48675,0.0015842,0.0015842,0.0015842
23,1510.72,1.35676,1.30526,1.42272,0.7815,0.65199,0.73813,0.42675,1.38553,1.09328,1.5188,0.0015644,0.0015644,0.0015644
24,1575.59,1.33873,1.30054,1.41765,0.76634,0.64935,0.73079,0.43692,1.33976,1.08128,1.47606,0.0015446,0.0015446,0.0015446
25,1640.46,1.35237,1.28915,1.41901,0.74551,0.67327,0.74215,0.44288,1.31849,1.11556,1.46248,0.0015248,0.0015248,0.0015248
26,1705.35,1.32639,1.26395,1.40816,0.74455,0.64457,0.72259,0.42622,1.38307,1.11498,1.50774,0.001505,0.001505,0.001505
27,1770.28,1.30083,1.23464,1.38979,0.79321,0.66027,0.75336,0.45055,1.34357,1.04256,1.45696,0.0014852,0.0014852,0.0014852
28,1835.27,1.3211,1.24123,1.4028,0.76259,0.6486,0.72355,0.42776,1.35343,1.13524,1.49057,0.0014654,0.0014654,0.0014654
29,1900.16,1.30021,1.21726,1.37901,0.796,0.63302,0.7278,0.44537,1.33398,1.10192,1.46381,0.0014456,0.0014456,0.0014456
30,1965.24,1.29715,1.20868,1.37747,0.80786,0.65983,0.75595,0.46464,1.29939,1.0278,1.42433,0.0014258,0.0014258,0.0014258
31,2030.25,1.27858,1.19087,1.36941,0.79159,0.66638,0.75225,0.45642,1.30757,1.05343,1.41664,0.001406,0.001406,0.001406
32,2095.39,1.28936,1.18427,1.36791,0.78861,0.69647,0.77079,0.47103,1.27668,0.9992,1.41192,0.0013862,0.0013862,0.0013862
33,2160.2,1.27462,1.18481,1.36619,0.78576,0.65099,0.73694,0.44746,1.31414,1.07651,1.44354,0.0013664,0.0013664,0.0013664
34,2225.06,1.26315,1.16877,1.35511,0.79305,0.67685,0.76272,0.47559,1.2653,1.0198,1.4033,0.0013466,0.0013466,0.0013466
35,2289.82,1.27286,1.16515,1.35526,0.80862,0.67627,0.77137,0.47309,1.27224,0.9782,1.42902,0.0013268,0.0013268,0.0013268
36,2354.57,1.26656,1.16279,1.35442,0.77521,0.68775,0.75982,0.46628,1.29888,0.9986,1.43386,0.001307,0.001307,0.001307
37,2419.41,1.26286,1.14278,1.3508,0.78704,0.67597,0.76806,0.46867,1.26488,0.98114,1.40139,0.0012872,0.0012872,0.0012872
38,2484.17,1.23371,1.13417,1.33549,0.78565,0.66856,0.76154,0.47011,1.28502,0.99729,1.43303,0.0012674,0.0012674,0.0012674
39,2549.18,1.24333,1.11647,1.32735,0.80827,0.67641,0.76616,0.47888,1.26096,0.96526,1.388,0.0012476,0.0012476,0.0012476
40,2614.19,1.23422,1.11387,1.3358,0.80301,0.66489,0.76866,0.4852,1.26068,0.9716,1.38858,0.0012278,0.0012278,0.0012278
41,2679.24,1.22505,1.10262,1.32505,0.78823,0.69211,0.77623,0.48646,1.23936,0.95429,1.37402,0.001208,0.001208,0.001208
42,2744.18,1.21039,1.09462,1.31603,0.80376,0.67641,0.76877,0.48031,1.24929,0.95041,1.39257,0.0011882,0.0011882,0.0011882
43,2809.16,1.21877,1.09908,1.32604,0.77292,0.70911,0.77888,0.49037,1.22905,0.94276,1.37498,0.0011684,0.0011684,0.0011684
44,2874.2,1.21865,1.08788,1.31868,0.79529,0.68789,0.77648,0.48375,1.25257,0.95328,1.38383,0.0011486,0.0011486,0.0011486
45,2938.99,1.19921,1.07569,1.30823,0.79573,0.68905,0.78105,0.49017,1.24059,0.95164,1.36043,0.0011288,0.0011288,0.0011288
46,3003.68,1.19089,1.06126,1.3063,0.81531,0.695,0.78339,0.49119,1.23216,0.93338,1.36092,0.001109,0.001109,0.001109
47,3068.68,1.19005,1.06159,1.31769,0.80079,0.69996,0.78782,0.49501,1.21804,0.91062,1.35758,0.0010892,0.0010892,0.0010892
48,69.5619,1.1958,1.06331,1.30408,0.84225,0.67902,0.78938,0.499,1.22175,0.91979,1.35806,0.0010694,0.0010694,0.0010694
49,134.862,1.17371,1.02608,1.28507,0.81268,0.69952,0.77945,0.49481,1.22025,0.91996,1.37056,0.0010496,0.0010496,0.0010496
50,200.035,1.17504,1.03318,1.30078,0.82083,0.71727,0.79763,0.50106,1.23574,0.89572,1.36742,0.0010298,0.0010298,0.0010298
51,265.202,1.17506,1.02129,1.28383,0.78792,0.70642,0.77983,0.49348,1.22761,0.92505,1.36491,0.00101,0.00101,0.00101
52,330.461,1.15552,1.00746,1.28183,0.82552,0.69734,0.79108,0.50912,1.20428,0.89583,1.34698,0.0009902,0.0009902,0.0009902
53,395.673,1.16479,1.01152,1.28171,0.8129,0.70475,0.78814,0.50285,1.203,0.89049,1.3557,0.0009704,0.0009704,0.0009704
54,460.778,1.17022,1.00941,1.27679,0.80944,0.71696,0.79016,0.50545,1.20671,0.89467,1.34791,0.0009506,0.0009506,0.0009506
55,525.889,1.14157,0.9933,1.27618,0.82472,0.70587,0.7949,0.50406,1.21554,0.89282,1.35639,0.0009308,0.0009308,0.0009308
56,590.888,1.14131,0.99975,1.27221,0.83701,0.70773,0.79571,0.50535,1.19711,0.89036,1.34139,0.000911,0.000911,0.000911
57,656.135,1.13532,0.99044,1.26599,0.84142,0.68262,0.78795,0.49785,1.2092,0.88264,1.36572,0.0008912,0.0008912,0.0008912
58,721.226,1.13931,0.97576,1.26363,0.79729,0.7084,0.77933,0.49846,1.22784,0.91151,1.36826,0.0008714,0.0008714,0.0008714
59,786.387,1.12599,0.97126,1.25975,0.8269,0.70416,0.79107,0.50642,1.2047,0.877,1.35501,0.0008516,0.0008516,0.0008516
60,851.333,1.11094,0.95971,1.24848,0.84358,0.70322,0.79639,0.50932,1.1992,0.87606,1.34081,0.0008318,0.0008318,0.0008318
61,916.356,1.11356,0.94785,1.25082,0.84342,0.69952,0.79557,0.50682,1.21713,0.87279,1.35735,0.000812,0.000812,0.000812
62,981.296,1.10791,0.94067,1.25196,0.8425,0.70345,0.79359,0.51077,1.20112,0.87575,1.3419,0.0007922,0.0007922,0.0007922
63,1046.28,1.11593,0.94485,1.24494,0.82225,0.71609,0.80041,0.51565,1.18198,0.8579,1.33362,0.0007724,0.0007724,0.0007724
64,1111.4,1.10354,0.94412,1.23852,0.83447,0.70793,0.79895,0.51345,1.18375,0.86797,1.32861,0.0007526,0.0007526,0.0007526
65,1176.36,1.09596,0.92536,1.2368,0.8494,0.69778,0.8073,0.52322,1.1804,0.854,1.33378,0.0007328,0.0007328,0.0007328
66,1241.43,1.10521,0.93338,1.24307,0.82145,0.71831,0.80133,0.5178,1.18751,0.85987,1.33617,0.000713,0.000713,0.000713
67,1306.4,1.09448,0.91693,1.23457,0.83339,0.71435,0.8013,0.51984,1.18296,0.85173,1.33919,0.0006932,0.0006932,0.0006932
68,1371.21,1.08977,0.92177,1.23379,0.84911,0.70191,0.79661,0.51405,1.19254,0.86429,1.33913,0.0006734,0.0006734,0.0006734
69,1436.12,1.07832,0.91503,1.22669,0.8392,0.7101,0.79857,0.51519,1.19556,0.87197,1.34019,0.0006536,0.0006536,0.0006536
70,1500.86,1.08608,0.90241,1.22626,0.82637,0.71915,0.80498,0.5196,1.18217,0.8516,1.32903,0.0006338,0.0006338,0.0006338
71,1565.47,1.06374,0.89262,1.2198,0.84531,0.70126,0.79407,0.51114,1.19455,0.86682,1.33721,0.000614,0.000614,0.000614
72,1630.5,1.06831,0.89599,1.21996,0.81742,0.73092,0.80481,0.51876,1.18399,0.84095,1.33132,0.0005942,0.0005942,0.0005942
73,1695.4,1.05979,0.87752,1.21784,0.81894,0.72197,0.80069,0.51771,1.19492,0.85351,1.34261,0.0005744,0.0005744,0.0005744
74,1760.27,1.04803,0.86536,1.21018,0.82093,0.72918,0.80576,0.52417,1.17669,0.83766,1.32857,0.0005546,0.0005546,0.0005546
75,1825.24,1.06476,0.87885,1.21912,0.82772,0.70402,0.79921,0.51461,1.19401,0.85209,1.34026,0.0005348,0.0005348,0.0005348
76,1890.14,1.04912,0.86221,1.20223,0.83064,0.72787,0.80817,0.52099,1.19555,0.83546,1.3474,0.000515,0.000515,0.000515
77,1955.26,1.05009,0.85755,1.20718,0.86496,0.70345,0.80461,0.52197,1.18771,0.83493,1.3385,0.0004952,0.0004952,0.0004952
78,2019.98,1.02513,0.84339,1.19557,0.84224,0.7078,0.80042,0.51618,1.18109,0.84563,1.34017,0.0004754,0.0004754,0.0004754
79,2084.66,1.03654,0.84809,1.1937,0.83856,0.72264,0.80457,0.52007,1.18935,0.84595,1.34242,0.0004556,0.0004556,0.0004556
80,2149.4,1.02775,0.84318,1.19454,0.83642,0.71958,0.80445,0.52377,1.17759,0.82722,1.33224,0.0004358,0.0004358,0.0004358
81,2214.11,1.01772,0.83324,1.18316,0.84113,0.71806,0.80383,0.52268,1.17783,0.82931,1.33012,0.000416,0.000416,0.000416
82,2278.68,1.03094,0.83773,1.19044,0.84732,0.71304,0.80935,0.52931,1.15983,0.8192,1.31424,0.0003962,0.0003962,0.0003962
83,2343.48,1.02824,0.83526,1.19248,0.83205,0.71947,0.80907,0.52478,1.17455,0.82364,1.32894,0.0003764,0.0003764,0.0003764
84,2408.29,1.01521,0.81657,1.18069,0.83089,0.72612,0.80881,0.52698,1.17373,0.81719,1.32803,0.0003566,0.0003566,0.0003566
